pid,level,level_num,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,PMmtg,HRmtg,Mktmtg,Opmtg,GAmtg,Salesmtg,RDmtg,PMemail,HRemail,Mktemail,Opemail,GAemail,Salesemail,RDemail,Dir_level,Exc_level,JrIc_level,Mgr_level,SrExec_level,SrIc_level,Sprt_level,C_region,E_region,N_region,S_region,SW_region,W_region,GA_dept,HR_dept,Mkting_dept,Ops_dept,PM_dept,RD_dept,Sales_dept,attainquota
997,Senior IC,3,R&D,Central,4752,2300,0.22717574,3490,1957,1262,343,78,78,110,310,220,150,1011,326,40,54,288,194,0,2588,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
998,Senior IC,3,G&A,Central,3418,1056,0.32678586,2796,943,622,113,25,23,85,148,367,138,157,0,18,2,188,2539,29,20,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
999,Senior IC,3,G&A,Central,9340,907,0.41847023,6022,813,3318,94,11,15,41,95,512,58,81,0,49,9,215,5681,67,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1002,Director,5,Marketing,Central,6680,0,0.44932663,5706,0,974,0,0,0,0,0,0,0,0,571,112,3681,106,419,671,146,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1003,Senior IC,3,Sales,Central,7588,1411,0.50503421,4960,1250,2628,161,30,20,187,131,141,604,137,25,10,650,547,367,3354,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,143.42606
1007,Junior IC,2,G&A,Central,5165,315,0.21774337,3645,286,1520,29,0,0,0,25,255,0,6,6,3,5,132,3244,18,237,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1010,Director,5,R&D,Central,2715,985,0.23209843,2093,875,622,110,29,22,77,135,258,122,232,48,49,67,69,852,75,933,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
1011,Director,5,G&A,Central,10526,2394,0.53769904,7064,2138,3462,256,33,43,124,219,1272,209,238,69,90,187,406,5926,182,204,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1012,Support,1,Sales,West,2877,849,0.17391013,2427,825,450,24,2,3,9,4,3,62,742,0,117,241,370,97,1579,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,120.83314
1015,Manager,4,G&A,Central,4568,979,0.34671652,3142,874,1426,105,11,17,36,106,565,60,79,0,68,48,224,2674,40,88,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1017,Support,1,Operations,Central,218,0,0.027864402,210,0,8,0,0,0,0,0,0,0,0,0,3,0,198,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
1022,Senior IC,3,R&D,Central,4335,1555,0.19688907,3463,1426,872,129,54,15,35,336,78,59,849,28,29,11,477,58,91,2769,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
1023,Junior IC,2,Sales,West,5788,823,0.13778505,2866,799,2922,24,11,2,4,15,3,22,742,180,4,400,78,32,2161,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,77.753113
1026,Junior IC,2,G&A,Central,3562,125,0.16077389,1640,104,1922,21,0,3,0,0,101,0,0,0,6,2,451,856,325,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1028,Junior IC,2,Sales,West,5495,813,0.17129287,3815,798,1680,15,11,1,9,9,2,24,742,9,4,1053,307,89,2346,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,132.40446
1029,Support,1,Operations,Central,3446,0,0.15327896,2484,0,962,0,0,0,0,0,0,0,0,29,3,19,1889,527,2,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
1032,Manager,4,G&A,Central,6371,1966,0.42017734,5961,1722,410,244,34,51,120,204,933,175,205,0,79,9,256,5516,79,22,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1035,Manager,4,HR,Central,2823,1034,0.24744652,1835,878,988,156,27,115,84,162,182,126,182,13,949,50,218,313,16,276,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
1036,Junior IC,2,G&A,Central,6465,999,0.40053156,5157,887,1308,112,28,20,71,173,260,118,217,435,111,170,582,1957,485,1417,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1039,Junior IC,2,G&A,Central,7785,1315,0.61227101,6165,1161,1620,154,32,38,109,181,414,137,250,56,185,297,241,4490,219,677,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1042,Junior IC,2,G&A,Central,1167,962,0.19947417,989,862,178,100,25,29,84,160,271,126,167,0,28,32,152,754,21,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1043,Junior IC,2,G&A,Central,1594,0,0.17992058,1280,0,314,0,0,0,0,0,0,0,0,0,28,34,26,1035,99,58,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1044,Junior IC,2,R&D,Central,3217,0,0.27969211,2261,0,956,0,0,0,0,0,0,0,0,58,22,95,221,540,104,1221,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
1047,Director,5,G&A,Central,3997,1342,0.31305626,3995,1196,2,146,45,28,54,129,751,75,114,3,54,17,42,3833,36,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1049,Junior IC,2,G&A,Central,2138,191,0.28998867,1728,164,410,27,0,3,2,0,159,0,0,2,14,30,436,1081,64,101,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1050,Support,1,HR,Central,10604,1484,0.50547385,7662,1228,2942,256,37,207,139,203,300,164,178,81,2759,232,710,3020,389,471,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
1051,Manager,4,HR,Central,13865,1720,0.52139258,8533,1431,5332,289,36,230,163,220,340,174,268,63,4250,1419,328,1848,100,525,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
1052,Director,5,Marketing,Central,6678,0,0.32130247,4248,0,2430,0,0,0,0,0,0,0,0,621,135,2737,77,421,41,216,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1053,Junior IC,2,R&D,Central,896,702,0.11760521,808,641,88,61,22,20,70,113,150,78,188,8,11,59,32,131,33,534,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
1054,Senior IC,3,Marketing,Central,12956,2053,0.47055033,8540,1780,4416,273,50,35,475,188,222,615,195,12,19,2191,123,109,6007,79,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1055,Senior IC,3,Product Management,Central,9296,0,0.34657443,6138,0,3158,0,0,0,0,0,0,0,0,1160,35,842,470,618,187,2826,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
1058,Director,5,Marketing,Central,4608,0,0.30901259,4308,0,300,0,0,0,0,0,0,0,0,20,109,3318,82,457,297,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1059,Director,5,Marketing,Central,10848,1269,0.41454113,6958,1065,3890,204,37,55,412,110,169,161,121,18,351,5385,118,909,109,68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1064,Manager,4,G&A,Central,4159,1513,0.30107298,3827,1367,332,146,32,41,60,188,849,103,94,12,48,20,172,3521,20,34,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1071,Junior IC,2,Operations,South,31312,5035,0.58497369,21620,4205,9692,830,99,0,103,3588,173,102,140,239,0,334,19255,547,381,864,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1081,Senior IC,3,Marketing,West,7824,335,0.31502032,5820,265,2004,70,42,3,86,15,12,70,37,340,150,738,1133,109,3236,114,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA
1115,Support,1,Operations,West,14576,113,0.13338679,5508,110,9068,3,0,0,0,110,0,0,0,21,2,18,4826,2,638,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1116,Manager,4,Marketing,East,7477,0,0.37553495,5325,0,2152,0,0,0,0,0,0,0,0,4,1,2435,213,2100,399,173,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA
1127,Support,1,Operations,East,5276,0,0.22243205,4634,0,642,0,0,0,0,0,0,0,0,0,0,31,3527,1006,59,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
1151,Support,1,Operations,South,4004,975,0.19801167,3606,898,398,77,12,5,17,768,46,32,18,3,0,8,3311,278,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1152,Support,1,G&A,East,3199,0,0.20718944,2241,0,958,0,0,0,0,0,0,0,0,0,0,145,83,977,847,189,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1160,Support,1,R&D,West,1086,65,0.059583299,696,13,390,52,0,1,0,4,0,0,8,0,39,2,319,2,14,320,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,NA
1163,Junior IC,2,Marketing,East,4687,0,0.24642578,2707,0,1980,0,0,0,0,0,0,0,0,9,0,1723,104,352,483,36,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA
1167,Support,1,Operations,West,706,0,0.090713285,702,0,4,0,0,0,0,0,0,0,0,0,32,52,509,16,44,49,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1168,Junior IC,2,G&A,East,3858,0,0.28256795,3400,0,458,0,0,0,0,0,0,0,0,19,6,17,243,2997,62,56,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1169,Support,1,G&A,Central,1624,0,0.10104945,1042,0,582,0,0,0,0,0,0,0,0,4,30,69,136,570,176,57,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
1171,Support,1,Operations,West,498,20,0.044925801,498,16,0,4,0,0,0,15,1,0,0,0,14,2,448,20,2,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1174,Support,1,Operations,South,2134,101,0.075542979,1786,94,348,7,0,0,0,82,11,1,0,0,0,2,1672,77,0,35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1175,Support,1,Operations,South,3180,7,0.20257887,2222,7,958,0,0,0,0,7,0,0,0,0,0,2,1832,228,7,153,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1177,Support,1,Operations,South,2973,588,0.21477883,1947,550,1026,38,0,0,0,499,39,3,9,28,10,60,1015,645,47,142,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1178,Junior IC,2,G&A,East,6319,0,0.32567999,5321,0,998,0,0,0,0,0,0,0,0,0,46,502,165,2557,1977,74,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1179,Support,1,Sales,East,8170,481,0.22365642,4572,451,3598,30,142,3,3,9,2,24,268,3,0,421,569,1388,2181,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,157.73035
1180,Support,1,Operations,South,1766,813,0.19694023,1356,446,410,367,0,0,0,318,27,4,97,0,0,15,998,271,14,58,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1181,Junior IC,2,HR,West,4060,78,0.15366888,2728,61,1332,17,2,4,17,15,10,6,7,0,832,218,1084,0,347,247,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
1182,Junior IC,2,Sales,East,7947,338,0.23985887,5741,329,2206,9,3,2,8,9,2,62,243,0,0,12,56,916,4749,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67.319794
1183,Junior IC,2,Marketing,West,1842,100,0.10589226,1438,95,404,5,1,6,45,0,0,43,0,2,77,417,113,0,824,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA
1184,Junior IC,2,Operations,West,196,0,0.028525744,194,0,2,0,0,0,0,0,0,0,0,3,7,2,170,0,4,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1193,Junior IC,2,Marketing,Central,12767,0,0.30170754,7299,0,5468,0,0,0,0,0,0,0,0,61,0,6228,122,203,582,103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1234,Senior IC,3,Marketing,Central,6977,206,0.20279346,5745,169,1232,37,6,6,90,0,6,61,0,8,951,4489,0,240,54,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1246,Junior IC,2,Marketing,Central,8400,0,0.36710605,5568,0,2832,0,0,0,0,0,0,0,0,203,58,2351,134,64,2665,93,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1254,Senior IC,3,Marketing,Central,3719,17,0.16890974,2155,11,1564,6,0,1,9,0,0,0,1,11,82,1748,51,212,35,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
1272,Junior IC,2,Operations,West,2122,44,0.14347923,1762,34,360,10,0,0,0,33,1,0,0,0,141,15,1026,218,281,81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1285,Junior IC,2,Operations,South,16555,765,0.36735931,5679,652,10876,113,0,0,0,638,4,0,10,18,0,0,5053,491,0,117,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1291,Junior IC,2,Operations,West,884,64,0.056706727,790,54,94,10,0,0,0,54,0,0,0,0,19,0,631,85,45,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1311,Manager,4,Operations,South,4298,1598,0.20754056,3404,1477,894,121,0,0,0,1245,174,14,44,3,0,0,2773,476,0,152,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1313,Junior IC,2,HR,West,1091,16,0.06911578,1065,11,26,5,0,5,0,3,3,0,0,0,689,11,205,73,86,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
1314,Senior IC,3,Operations,West,4485,502,0.13171998,2525,315,1960,187,30,0,20,103,11,1,150,0,96,9,1270,1071,48,31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1315,Junior IC,2,Operations,West,4933,213,0.050271783,2493,198,2440,15,0,0,0,198,0,0,0,0,0,0,2302,12,179,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1317,Junior IC,2,Operations,West,601,0,0.007237426,511,0,90,0,0,0,0,0,0,0,0,0,0,0,499,0,10,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1326,Junior IC,2,Operations,South,23425,4115,0.48903251,16361,3458,7064,657,46,0,47,3114,85,46,120,21,0,94,14932,633,307,374,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1328,Junior IC,2,Operations,West,773,105,0.01282909,449,97,324,8,0,0,0,97,0,0,0,0,5,0,441,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1354,Support,1,R&D,South,2805,230,0.21137451,2021,192,784,38,0,0,0,37,4,4,147,26,0,6,776,126,0,1087,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1357,Manager,4,Operations,South,2716,1669,0.10790308,2166,1004,550,665,0,0,0,641,87,14,262,0,0,0,1838,116,5,207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1358,Junior IC,2,R&D,South,1872,0,0.2500838,1862,0,10,0,0,0,0,0,0,0,0,0,0,0,310,969,44,539,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1362,Manager,4,G&A,South,6672,162,0.40405294,5100,136,1572,26,0,0,0,52,51,10,23,0,0,4,1378,3408,106,204,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1378,Junior IC,2,G&A,South,7762,265,0.31298092,4952,194,2810,71,0,0,0,61,102,10,21,0,0,0,1268,3343,43,298,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1384,Support,1,G&A,South,10207,312,0.34637281,7997,243,2210,69,0,0,0,107,123,10,3,0,1,0,3034,4698,80,184,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1389,Support,1,Operations,South,10315,83,0.16652808,4395,63,5920,20,0,0,0,36,7,0,20,0,17,12,3453,532,24,357,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1398,Manager,4,G&A,South,7147,1192,0.39481547,6369,1002,778,190,0,37,0,600,276,26,63,0,41,1,2644,3347,121,215,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1400,Support,1,Operations,South,1192,0,0.12795237,874,0,318,0,0,0,0,0,0,0,0,0,0,0,672,164,5,33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1404,Director,5,G&A,South,2834,1150,0.22441454,2582,1027,252,123,0,0,0,624,285,45,73,6,0,4,1298,1209,14,51,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1407,Junior IC,2,R&D,South,5347,0,0.11190782,2813,0,2534,0,0,0,0,0,0,0,0,24,0,44,939,107,3,1696,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1409,Junior IC,2,G&A,South,8107,0,0.39262819,5669,0,2438,0,0,0,0,0,0,0,0,0,74,22,2166,2444,105,858,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1425,Junior IC,2,Operations,South,7639,1622,0.21334991,4173,1160,3466,462,6,0,0,674,44,10,426,16,0,2,1928,148,23,2056,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1426,Support,1,R&D,South,2173,573,0.10274866,1585,405,588,168,2,0,1,167,10,0,225,2,0,224,400,97,16,846,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1427,Junior IC,2,Operations,South,1254,1791,0.083385549,1254,1231,0,560,3,0,4,747,21,0,456,1,0,3,531,41,8,670,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1432,Support,1,Operations,South,899,35,0.037537728,829,29,70,6,0,0,0,29,0,0,0,0,0,0,795,7,0,27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1435,Support,1,R&D,South,418,0,0.031067427,382,0,36,0,0,0,0,0,0,0,0,0,0,0,58,13,0,311,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1440,Junior IC,2,R&D,South,4576,0,0.10292679,2624,0,1952,0,0,0,0,0,0,0,0,5,0,35,753,66,1,1764,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1442,Manager,4,R&D,South,2226,2243,0.17928258,1686,1255,540,988,0,0,0,767,50,2,436,6,0,0,429,117,0,1134,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1446,Junior IC,2,R&D,South,1715,1481,0.11133015,1687,874,28,607,0,0,2,497,41,1,333,7,0,16,398,225,1,1040,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1450,Support,1,Operations,South,6632,79,0.099532127,6268,79,364,0,0,0,0,76,2,0,1,0,0,0,6189,35,0,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1451,Support,1,G&A,South,3536,26,0.17156748,2844,25,692,1,0,0,0,7,18,0,0,0,0,0,1126,1660,3,55,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1452,Support,1,G&A,South,4875,285,0.26647297,3399,261,1476,24,0,0,0,113,92,11,45,0,0,0,1248,2010,19,122,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1453,Manager,4,G&A,South,5714,1066,0.42249009,4706,922,1008,144,0,1,0,193,649,15,64,0,0,2,954,3466,49,235,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1454,Support,1,Operations,South,750,0,0.025471183,714,0,36,0,0,0,0,0,0,0,0,0,0,0,689,15,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1455,Support,1,Operations,South,925,246,0.034713313,579,207,346,39,0,0,0,156,20,10,21,0,0,0,494,69,0,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1459,Support,1,Operations,South,1992,390,0.053768467,1266,342,726,48,0,0,0,201,46,15,80,0,0,0,1214,49,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1460,Manager,4,G&A,South,4280,263,0.20626073,2816,234,1464,29,0,0,0,77,87,10,60,0,0,0,401,2138,78,199,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1461,Support,1,G&A,South,2860,135,0.24157776,1948,123,912,12,0,0,0,46,45,11,21,0,0,0,531,945,218,254,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1465,Support,1,Operations,South,1849,650,0.23325929,1771,499,78,151,0,0,13,280,30,144,32,0,0,21,1215,97,362,76,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1467,Support,1,Operations,South,17189,636,0.8231824,13005,485,4184,151,0,0,13,272,31,140,29,124,76,518,4348,475,7259,205,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1472,Manager,4,G&A,South,2692,0,0.21343635,2132,0,560,0,0,0,0,0,0,0,0,0,3,0,722,1330,8,69,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1474,Manager,4,Operations,South,3919,646,0.1969438,2695,565,1224,81,0,0,0,315,146,18,86,0,0,2,1514,1102,32,45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1475,Manager,4,Operations,South,3638,1090,0.2365866,3638,998,0,92,2,0,2,729,166,38,61,7,0,3,3267,333,25,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1476,Manager,4,Operations,South,8584,1377,0.32782033,8024,1270,560,107,12,0,3,1134,61,21,39,43,0,22,7527,286,112,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1477,Support,1,Operations,South,5513,745,0.1164891,4879,680,634,65,8,0,0,605,14,3,50,59,0,9,4658,13,39,101,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1479,Junior IC,2,Operations,South,4964,241,0.2946074,3300,225,1664,16,0,0,0,167,33,0,25,0,0,2,1992,1044,1,261,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1498,Manager,4,Operations,South,2561,0,0.12321857,1855,0,706,0,0,0,0,0,0,0,0,0,0,0,1672,98,0,85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1500,Manager,4,Operations,South,2897,553,0.29402977,2883,501,14,52,1,0,0,339,101,12,48,5,0,2,2523,286,18,49,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1501,Manager,4,Operations,South,5848,1727,0.15667926,4930,1257,918,470,0,0,0,898,185,28,146,9,0,3,4454,385,12,67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1502,Manager,4,G&A,South,3083,404,0.20183346,2703,328,380,76,0,0,0,162,94,15,57,0,0,0,824,1721,27,131,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1509,Junior IC,2,Operations,West,2261,479,0.073316954,1855,302,406,177,10,0,18,43,43,5,183,8,6,1,493,7,6,1334,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1513,Junior IC,2,G&A,South,5652,770,0.39599913,4000,705,1652,65,0,1,0,145,517,10,32,0,0,0,2070,1814,22,94,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1514,Junior IC,2,Operations,South,11801,1421,0.2690531,5317,1250,6484,171,0,0,0,1240,3,0,7,4,0,2,4705,319,3,284,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1515,Junior IC,2,Operations,South,11517,514,0.29147148,5199,434,6318,80,0,0,0,430,3,0,1,10,0,0,4523,411,11,244,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1524,Support,1,Operations,South,6760,0,0.28662622,4748,0,2012,0,0,0,0,0,0,0,0,0,0,0,3843,414,19,472,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1548,Junior IC,2,Operations,West,9018,938,0.14702883,4818,636,4200,302,52,0,20,204,22,0,338,364,21,28,1569,63,86,2687,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1560,Support,1,Operations,East,3101,0,0.16671866,3089,0,12,0,0,0,0,0,0,0,0,0,0,80,2529,133,341,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
1563,Junior IC,2,G&A,South,2154,322,0.21263276,1826,244,328,78,0,0,0,86,114,12,32,0,0,0,483,1252,33,58,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
1564,Manager,4,Operations,South,3314,0,0.17704765,3312,0,2,0,0,0,0,0,0,0,0,0,0,0,3193,77,0,42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1572,Junior IC,2,Sales,West,4403,90,0.14376748,2327,60,2076,30,7,1,18,4,1,26,3,92,14,1063,158,167,814,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,119.61892
1589,Support,1,Operations,South,1539,28,0.066741973,1011,27,528,1,0,0,0,23,3,0,1,0,2,0,891,78,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
1600,Senior IC,3,Operations,West,10387,362,0.10799856,6449,263,3938,99,6,0,4,83,21,0,149,13,9,1,1851,38,0,4537,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
1604,Support,1,Operations,East,15586,0,0.23671518,6688,0,8898,0,0,0,0,0,0,0,0,2,0,17,4761,699,1204,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
1605,Support,1,Operations,East,6492,0,0.23707631,4338,0,2154,0,0,0,0,0,0,0,0,1,0,28,3720,322,267,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
